,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-07-06,603.574659455398,482.09962861592425,703.5278254254334,603.574659455398,603.574659455398,-8.939251645298974,-8.939251645298974,-8.939251645298974,-8.939251645298974,-8.939251645298974,-8.939251645298974,0.0,0.0,0.0,594.635407810099
1,2021-07-07,606.6896184343422,484.1786817968811,710.7148217170632,606.6896184343422,606.6896184343422,-6.863497168399733,-6.863497168399733,-6.863497168399733,-6.863497168399733,-6.863497168399733,-6.863497168399733,0.0,0.0,0.0,599.8261212659424
2,2021-07-08,609.8045774132863,486.11732714385585,711.9479666193778,609.8045774132863,609.8045774132863,-15.316795300335412,-15.316795300335412,-15.316795300335412,-15.316795300335412,-15.316795300335412,-15.316795300335412,0.0,0.0,0.0,594.4877821129509
3,2021-07-09,612.9195363922305,481.8971845512274,710.1560346010348,612.9195363922305,612.9195363922305,-19.723812365582205,-19.723812365582205,-19.723812365582205,-19.723812365582205,-19.723812365582205,-19.723812365582205,0.0,0.0,0.0,593.1957240266483
4,2021-07-12,622.2644133290631,505.8035050071906,731.8820771154885,622.2644133290631,622.2644133290631,-3.6475952904325992,-3.6475952904325992,-3.6475952904325992,-3.6475952904325992,-3.6475952904325992,-3.6475952904325992,0.0,0.0,0.0,618.6168180386305
5,2021-07-13,625.3793723080073,497.987576610292,723.728088685066,625.3793723080073,625.3793723080073,-8.939251645284898,-8.939251645284898,-8.939251645284898,-8.939251645284898,-8.939251645284898,-8.939251645284898,0.0,0.0,0.0,616.4401206627224
6,2021-07-14,628.4943312869515,515.5455421070383,730.032745423175,628.4943312869515,628.4943312869515,-6.863497168388089,-6.863497168388089,-6.863497168388089,-6.863497168388089,-6.863497168388089,-6.863497168388089,0.0,0.0,0.0,621.6308341185634
7,2021-07-15,631.6092902658957,504.65123413445997,738.4721447647851,631.6092902658957,631.6092902658957,-15.316795300261763,-15.316795300261763,-15.316795300261763,-15.316795300261763,-15.316795300261763,-15.316795300261763,0.0,0.0,0.0,616.2924949656339
8,2021-07-16,634.7242492448398,491.6322971600436,714.3654408956493,634.7242492448398,634.7242492448398,-19.723812365552938,-19.723812365552938,-19.723812365552938,-19.723812365552938,-19.723812365552938,-19.723812365552938,0.0,0.0,0.0,615.0004368792869
9,2021-07-19,644.0691262847552,526.5258566627472,746.1345625697405,644.0691262847552,644.0691262847552,-3.6475952903483897,-3.6475952903483897,-3.6475952903483897,-3.6475952903483897,-3.6475952903483897,-3.6475952903483897,0.0,0.0,0.0,640.4215309944068
10,2021-07-20,647.1840852980605,523.7728264648318,750.6841135710794,647.1840852980605,647.1840852980605,-8.939251645299736,-8.939251645299736,-8.939251645299736,-8.939251645299736,-8.939251645299736,-8.939251645299736,0.0,0.0,0.0,638.2448336527608
11,2021-07-21,650.2990443113655,538.985369236135,754.8531450982791,650.2990443113655,650.2990443113655,-6.863497168396339,-6.863497168396339,-6.863497168396339,-6.863497168396339,-6.863497168396339,-6.863497168396339,0.0,0.0,0.0,643.4355471429692
12,2021-07-22,653.4140033246707,519.1463576593552,749.0158869257261,653.4140033246707,653.4140033246707,-15.31679530027247,-15.31679530027247,-15.31679530027247,-15.31679530027247,-15.31679530027247,-15.31679530027247,0.0,0.0,0.0,638.0972080243982
13,2021-07-23,656.5289623379758,527.1998462438577,751.6988754706725,656.5289623379758,656.5289623379758,-19.723812365536322,-19.723812365536322,-19.723812365536322,-19.723812365536322,-19.723812365536322,-19.723812365536322,0.0,0.0,0.0,636.8051499724395
14,2021-07-26,665.8738393778913,552.5634428208099,769.3335543106997,665.8738393778913,665.8738393778913,-3.647595290375897,-3.647595290375897,-3.647595290375897,-3.647595290375897,-3.647595290375897,-3.647595290375897,0.0,0.0,0.0,662.2262440875154
15,2021-07-27,668.9887983911964,543.6184624849578,769.4926934575925,668.9887983911964,668.9887983911964,-8.939251645256736,-8.939251645256736,-8.939251645256736,-8.939251645256736,-8.939251645256736,-8.939251645256736,0.0,0.0,0.0,660.0495467459397
16,2021-07-28,672.1037574045016,551.4186599551006,781.3028935658651,672.1037574045016,672.1037574045016,-6.863497168384215,-6.863497168384215,-6.863497168384215,-6.863497168384215,-6.863497168384215,-6.863497168384215,0.0,0.0,0.0,665.2402602361174
17,2021-07-29,675.2187166610078,547.7048615333451,766.536649138995,675.2187166610078,675.2187166610078,-15.316795300290979,-15.316795300290979,-15.316795300290979,-15.316795300290979,-15.316795300290979,-15.316795300290979,0.0,0.0,0.0,659.9019213607168
18,2021-07-30,678.3336759175139,542.4580362572818,771.1057307581692,678.3336759175139,678.3336759175139,-19.72381236563181,-19.72381236563181,-19.72381236563181,-19.72381236563181,-19.72381236563181,-19.72381236563181,0.0,0.0,0.0,658.6098635518821
19,2021-08-02,687.6785536870325,577.697454613154,794.494507509652,687.6785536870325,687.6785536870325,-3.647595290403407,-3.647595290403407,-3.647595290403407,-3.647595290403407,-3.647595290403407,-3.647595290403407,0.0,0.0,0.0,684.0309583966291
20,2021-08-03,690.7935129435386,562.3805861184484,789.4005672403314,690.7935129435386,690.7935129435386,-8.939251645271579,-8.939251645271579,-8.939251645271579,-8.939251645271579,-8.939251645271579,-8.939251645271579,0.0,0.0,0.0,681.854261298267
21,2021-08-04,693.9084722000449,588.0811899534758,796.0389164683289,693.9084722000449,693.9084722000449,-6.863497168392467,-6.863497168392467,-6.863497168392467,-6.863497168392467,-6.863497168392467,-6.863497168392467,0.0,0.0,0.0,687.0449750316525
22,2021-08-05,697.0234314565511,572.6131255840806,790.688010453608,697.0234314565511,697.0234314565511,-15.31679530030949,-15.31679530030949,-15.31679530030949,-15.31679530030949,-15.31679530030949,-15.31679530030949,0.0,0.0,0.0,681.7066361562415
23,2021-08-06,700.1383907130572,572.931850047376,790.8299284938723,700.1383907130572,700.1383907130572,-19.723812365608865,-19.723812365608865,-19.723812365608865,-19.723812365608865,-19.723812365608865,-19.723812365608865,0.0,0.0,0.0,680.4145783474484
24,2021-08-09,709.4832684825758,589.7565830935372,821.6140809675059,709.4832684825758,709.4832684825758,-3.6475952903991824,-3.6475952903991824,-3.6475952903991824,-3.6475952903991824,-3.6475952903991824,-3.6475952903991824,0.0,0.0,0.0,705.8356731921766
25,2021-08-10,712.5982277432477,590.5800795318185,820.01871396821,712.5982277432477,712.5982277432477,-8.939251645298784,-8.939251645298784,-8.939251645298784,-8.939251645298784,-8.939251645298784,-8.939251645298784,0.0,0.0,0.0,703.6589760979489
26,2021-08-11,715.7131870039195,597.8977001718476,827.4543620739651,715.7131870039195,715.7131870039195,-6.863497168380344,-6.863497168380344,-6.863497168380344,-6.863497168380344,-6.863497168380344,-6.863497168380344,0.0,0.0,0.0,708.8496898355392
27,2021-08-12,718.8281462645914,590.5041223310337,808.7509619886412,718.8281462645914,718.8281462645914,-15.3167953003202,-15.3167953003202,-15.3167953003202,-15.3167953003202,-15.3167953003202,-15.3167953003202,0.0,0.0,0.0,703.5113509642712
28,2021-08-13,721.9431055252633,587.0542328875562,815.9309980823525,721.9431055252633,721.9431055252633,-19.723812365585925,-19.723812365585925,-19.723812365585925,-19.723812365585925,-19.723812365585925,-19.723812365585925,0.0,0.0,0.0,702.2192931596774
29,2021-08-16,731.2879833072788,613.1938550969944,835.1624456755133,731.2879833072788,731.2879833072788,-3.647595290394959,-3.647595290394959,-3.647595290394959,-3.647595290394959,-3.647595290394959,-3.647595290394959,0.0,0.0,0.0,727.6403880168838
30,2021-08-17,734.4029425679506,616.1747805576481,834.3405019808959,734.4029425679506,734.4029425679506,-8.939251645284704,-8.939251645284704,-8.939251645284704,-8.939251645284704,-8.939251645284704,-8.939251645284704,0.0,0.0,0.0,725.4636909226659
31,2021-08-18,737.5179018286225,615.6454088391581,839.5972511008493,737.5179018286225,737.5179018286225,-6.863497168409446,-6.863497168409446,-6.863497168409446,-6.863497168409446,-6.863497168409446,-6.863497168409446,0.0,0.0,0.0,730.654404660213
32,2021-08-19,740.6328610892944,610.3739150603634,835.9204468293278,740.6328610892944,740.6328610892944,-15.316795300330911,-15.316795300330911,-15.316795300330911,-15.316795300330911,-15.316795300330911,-15.316795300330911,0.0,0.0,0.0,725.3160657889634
33,2021-08-20,743.7478271438868,612.7057485063715,822.2142251522215,743.7478271438868,743.7478271438868,-19.723812365569298,-19.723812365569298,-19.723812365569298,-19.723812365569298,-19.723812365569298,-19.723812365569298,0.0,0.0,0.0,724.0240147783175
34,2021-08-23,753.092725307664,639.4000598775162,858.2317955534704,753.092725307664,753.092725307664,-3.647595290422468,-3.647595290422468,-3.647595290422468,-3.647595290422468,-3.647595290422468,-3.647595290422468,0.0,0.0,0.0,749.4451300172415
35,2021-08-24,756.2076913622564,636.207866574821,862.3918839705553,756.2076913622564,756.2076913622564,-8.939251645270625,-8.939251645270625,-8.939251645270625,-8.939251645270625,-8.939251645270625,-8.939251645270625,0.0,0.0,0.0,747.2684397169858
36,2021-08-25,759.3226574168488,646.0708795425307,869.9663815630736,759.3226574168488,759.3226574168488,-6.863497168397323,-6.863497168397323,-6.863497168397323,-6.863497168397323,-6.863497168397323,-6.863497168397323,0.0,0.0,0.0,752.4591602484514
37,2021-08-26,762.437623471441,640.649876019952,861.7981864163526,762.437623471441,762.437623471441,-15.316795300272862,-15.316795300272862,-15.316795300272862,-15.316795300272862,-15.316795300272862,-15.316795300272862,0.0,0.0,0.0,747.1208281711682
38,2021-08-27,765.5525895260334,634.0442585856266,866.0195144759983,765.5525895260334,765.5525895260334,-19.72381236555268,-19.72381236555268,-19.72381236555268,-19.72381236555268,-19.72381236555268,-19.72381236555268,0.0,0.0,0.0,745.8287771604807
39,2021-08-30,774.8974876898108,653.5141690192969,885.6219871284343,774.8974876898108,774.8974876898108,-3.6475952904499764,-3.6475952904499764,-3.6475952904499764,-3.6475952904499764,-3.6475952904499764,-3.6475952904499764,0.0,0.0,0.0,771.2498923993608
40,2021-08-31,778.0124537444029,647.8727381007925,872.333742086349,778.0124537444029,778.0124537444029,-8.939251645285463,-8.939251645285463,-8.939251645285463,-8.939251645285463,-8.939251645285463,-8.939251645285463,0.0,0.0,0.0,769.0732020991175
41,2021-09-01,781.1905538141741,661.7743611830061,885.9923119044498,781.1905538141741,781.1905538141741,-6.863497168405574,-6.863497168405574,-6.863497168405574,-6.863497168405574,-6.863497168405574,-6.863497168405574,0.0,0.0,0.0,774.3270566457685
